年月日,天気概況,最大瞬間風速(m/s),最大瞬間風速(m/s),日照時間,平均気温(摂氏)
2022-03-18,雨時々曇,10.5,北東,0.0,5.2
2022-03-19,晴後曇一時雨,15.9,北西,7.0,10.1
2022-03-20,晴後曇,11.6,北西,6.9,9.9
2022-03-21,曇後一時晴,7.7,南東,4.0,9.6
2022-03-22,雨一時みぞれ,9.8,北北東,0.0,3.7
2022-03-23,薄曇,6.8,東北東,6.3,5.2
2022-03-24,晴,8.2,南東,9.5,8.2
2022-03-25,快晴,12.1,南,10.9,12.2
2022-03-26,曇後時々雨,20.2,南南西,0.0,16.1
2022-03-27,曇一時晴,11.0,南東,2.1,16.2
2022-03-28,晴時々曇,10.8,北,6.1,13.5
2022-03-29,曇,7.1,北東,0.0,10.2
2022-03-30,曇一時晴,13.6,南南東,3.9,14.5
2022-03-31,曇,11.6,東北東,6.0,15.1
2022-04-01,曇一時雨,12.4,北,5.2,7.6
2022-04-02,薄曇時々晴,9.7,南東,11.6,8.5
2022-04-03,雨一時曇,8.9,北西,0.0,8.2
2022-04-04,大雨,11.9,北北西,0.0,8.5
2022-04-05,曇一時雨後晴,10.5,北北西,3.1,12.6
2022-04-06,曇後晴,11.1,南南東,7.9,15.5
2022-04-07,曇,10.0,南,6.2,14.3
2022-04-08,快晴,10.9,南,11.8,15.4
2022-04-09,快晴,12.6,南南西,11.5,17.2
2022-04-10,快晴,7.6,南,11.8,19.6
2022-04-11,薄曇,12.3,南南東,9.5,18.9
2022-04-12,快晴,9.5,南南西,11.8,20.0
2022-04-13,薄曇,9.8,南南東,11.3,20.8
2022-04-14,雨,11.4,北東,0.0,12.3
2022-04-15,雨,9.5,北東,0.0,10.1
2022-04-16,曇時々晴一時雨,8.2,西北西,5.5,12.5
2022-04-17,曇,7.7,南東,4.6,13.7
2022-04-18,曇時々雨,9.6,北西,0.9,14.3
