ダウンロードした時刻：2022/04/19 11:50:45

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),最大瞬間風速(m/s),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,,,風向,風向,,,,,,,,
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号
2022/3/18,雨時々曇,8,1,10.5,8,北東,8,1,0.0,0,8,1,5.2,8,1
2022/3/19,晴後曇一時雨,8,1,15.9,8,北西,8,1,7.0,0,8,1,10.1,8,1
2022/3/20,晴後曇,8,1,11.6,8,北西,8,1,6.9,0,8,1,9.9,8,1
2022/3/21,曇後一時晴,8,1,7.7,8,南東,8,1,4.0,0,8,1,9.6,8,1
2022/3/22,雨一時みぞれ,8,1,9.8,8,北北東,8,1,0.0,0,8,1,3.7,8,1
2022/3/23,薄曇,8,1,6.8,8,東北東,8,1,6.3,0,8,1,5.2,8,1
2022/3/24,晴,8,1,8.2,8,南東,8,1,9.5,0,8,1,8.2,8,1
2022/3/25,快晴,8,1,12.1,8,南,8,1,10.9,0,8,1,12.2,8,1
2022/3/26,曇後時々雨,8,1,20.2,8,南南西,8,1,0.0,0,8,1,16.1,8,1
2022/3/27,曇一時晴,8,1,11.0,8,南東,8,1,2.1,0,8,1,16.2,8,1
2022/3/28,晴時々曇,8,1,10.8,8,北,8,1,6.1,0,8,1,13.5,8,1
2022/3/29,曇,8,1,7.1,8,北東,8,1,0.0,0,8,1,10.2,8,1
2022/3/30,曇一時晴,8,1,13.6,8,南南東,8,1,3.9,0,8,1,14.5,8,1
2022/3/31,曇,8,1,11.6,8,東北東,8,1,6.0,0,8,1,15.1,8,1
2022/4/1,曇一時雨,8,1,12.4,8,北,8,1,5.2,0,8,1,7.6,8,1
2022/4/2,薄曇時々晴,8,1,9.7,8,南東,8,1,11.6,0,8,1,8.5,8,1
2022/4/3,雨一時曇,8,1,8.9,8,北西,8,1,0.0,0,8,1,8.2,8,1
2022/4/4,大雨,8,1,11.9,8,北北西,8,1,0.0,0,8,1,8.5,8,1
2022/4/5,曇一時雨後晴,8,1,10.5,8,北北西,8,1,3.1,0,8,1,12.6,8,1
2022/4/6,曇後晴,8,1,11.1,8,南南東,8,1,7.9,0,8,1,15.5,8,1
2022/4/7,曇,8,1,10.0,8,南,8,1,6.2,0,8,1,14.3,8,1
2022/4/8,快晴,8,1,10.9,8,南,8,1,11.8,0,8,1,15.4,8,1
2022/4/9,快晴,8,1,12.6,8,南南西,8,1,11.5,0,8,1,17.2,8,1
2022/4/10,快晴,8,1,7.6,8,南,8,1,11.8,0,8,1,19.6,8,1
2022/4/11,薄曇,8,1,12.3,8,南南東,8,1,9.5,0,8,1,18.9,8,1
2022/4/12,快晴,8,1,9.5,8,南南西,8,1,11.8,0,8,1,20.0,8,1
2022/4/13,薄曇,8,1,9.8,8,南南東,8,1,11.3,0,8,1,20.8,8,1
2022/4/14,雨,8,1,11.4,8,北東,8,1,0.0,0,8,1,12.3,8,1
2022/4/15,雨,8,1,9.5,8,北東,8,1,0.0,0,8,1,10.1,8,1
2022/4/16,曇時々晴一時雨,8,1,8.2,8,西北西,8,1,5.5,0,8,1,12.5,8,1
2022/4/17,曇,8,1,7.7,8,南東,8,1,4.6,0,8,1,13.7,8,1
2022/4/18,曇時々雨,8,1,9.6,8,北西,8,1,0.9,0,8,1,14.3,8,1
